0;0.022;0.123;33;117;Coca Cola;0.162;0.123;30;42;0.216;0.123;30;62;1.5;
1;0.022;0.222;33;87;Sprite;0.162;0.222;30;42;0.216;0.222;30;62;1.5;
2;0.022;0.321;33;98;Juices;0.162;0.321;30;42;0.216;0.321;30;62;2.3;
3;0.022;0.42;33;87;Water;0.162;0.42;30;42;0.216;0.42;30;62;1;
4;0.022;0.519;33;67;Tea;0.162;0.519;30;42;0.216;0.519;30;62;1.7;
5;0.022;0.617;33;127;Americano;0.162;0.617;30;42;0.216;0.617;30;62;6.7;
6;0.022;0.716;33;77;Latte;0.162;0.716;30;42;0.216;0.716;30;62;7.4;
7;0.022;0.815;33;127;Cappuccino;0.162;0.815;30;42;0.216;0.815;30;62;11.4;
8;0.292;0.123;33;87;Steak;0.475;0.123;30;42;0.529;0.123;30;62;18.4;
9;0.292;0.222;33;158;Club sandwich;0.475;0.222;30;42;0.529;0.222;30;62;12.4;
10;0.292;0.321;33;167;Pepperoni pizza;0.475;0.321;30;42;0.529;0.321;30;62;18.4;
11;0.292;0.42;33;108;Sezai roll;0.475;0.42;30;42;0.529;0.42;30;62;13.4;
12;0.292;0.617;33;117;Brownies;0.475;0.617;30;42;0.529;0.617;30;62;5.6;
13;0.292;0.716;33;127;Cheescake;0.475;0.716;30;42;0.529;0.716;30;62;3.4;
14;0.292;0.815;33;108;Cookies;0.475;0.815;30;42;0.529;0.815;30;62;2.1;
15;0.637;0.123;33;107;Nuggets;0.842;0.123;30;42;0.896;0.123;30;62;4.2;
16;0.637;0.222;33;177;Mozzarella sticks;0.842;0.222;30;42;0.896;0.222;30;62;4.6;
17;0.637;0.321;33;127;Sezai salad;0.842;0.321;30;42;0.896;0.321;30;62;12.4;
